Sensor1_val,Sensor2_val,Sensor3_val,Sensor4_val,Sensor5_val,Sensor6_val,Sensor7_val,Sensor8_val,y,category
0.880061,1.421256,2.146772,2.064808,0.859795,1.993231,1.768494,0.644974,1,10%gnd+90%palm
0.859635,1.431469,2.126347,2.054595,0.849581,1.993231,1.748068,0.665401,1,10%gnd+90%palm
0.890274,1.390617,2.167197,2.054595,0.81894,2.013658,1.758281,0.634761,1,10%gnd+90%palm
0.910701,1.411044,2.116135,2.075021,0.839368,1.952379,1.799134,0.604121,1,10%gnd+90%palm
0.859635,1.431469,2.136559,2.064808,0.870009,1.983018,1.717428,0.655187,1,10%gnd+90%palm
0.900487,1.411044,2.126347,2.095446,0.839368,1.952379,1.799134,0.624548,1,10%gnd+90%palm
0.900487,1.431469,2.177409,2.054595,0.859795,2.034084,1.748068,0.69604,1,10%gnd+90%palm
1.023046,1.441682,2.146772,2.075021,0.849581,2.013658,1.768494,0.634761,1,10%gnd+90%palm
1.125177,1.472321,2.167197,2.075021,0.849581,2.044297,1.758281,0.644974,1,10%gnd+90%palm
1.247735,1.492747,2.156984,2.075021,0.859795,2.05451,1.768494,0.644974,1,10%gnd+90%palm
1.349867,1.513173,2.156984,2.085233,0.859795,2.074936,1.768494,0.634761,1,10%gnd+90%palm
1.421359,1.554025,2.156984,2.085233,0.859795,2.095363,1.768494,0.634761,1,10%gnd+90%palm
1.472425,1.594877,2.156984,2.095446,0.859795,2.126002,1.768494,0.644974,1,10%gnd+90%palm
1.503064,1.635729,2.167197,2.095446,0.870009,2.146428,1.768494,0.644974,1,10%gnd+90%palm
1.533704,1.666368,2.156984,2.126085,0.859795,2.156641,1.768494,0.634761,1,10%gnd+90%palm
1.55413,1.717432,2.167197,2.126085,0.870009,2.177068,1.768494,0.644974,1,10%gnd+90%palm
1.564343,1.748071,2.167197,2.136297,0.870009,2.197494,1.778707,0.644974,1,10%gnd+90%palm
1.574557,1.788923,2.177409,2.14651,0.870009,2.207707,1.778707,0.644974,1,10%gnd+90%palm
1.574557,1.819562,2.177409,2.166936,0.870009,2.228133,1.768494,0.644974,1,10%gnd+90%palm
1.58477,1.850201,2.177409,2.187362,0.859795,2.238347,1.778707,0.634761,1,10%gnd+90%palm
1.58477,1.88084,2.197834,2.197575,0.870009,2.258773,1.778707,0.644974,1,10%gnd+90%palm
1.58477,1.901266,2.197834,2.207787,0.859795,2.268986,1.768494,0.644974,1,10%gnd+90%palm
1.58477,1.921692,2.197834,2.228213,0.859795,2.289412,1.768494,0.634761,1,10%gnd+90%palm
1.574557,1.952331,2.197834,2.258852,0.859795,2.289412,1.778707,0.644974,1,10%gnd+90%palm
1.574557,1.972757,2.208046,2.269064,0.859795,2.299625,1.778707,0.634761,1,10%gnd+90%palm
1.564343,1.993183,2.208046,2.28949,0.849581,2.309839,1.778707,0.644974,1,10%gnd+90%palm
1.564343,2.013608,2.208046,2.309916,0.859795,2.320052,1.778707,0.655187,1,10%gnd+90%palm
1.55413,2.023822,2.218258,2.320128,0.849581,2.330265,1.778707,0.655187,1,10%gnd+90%palm
1.55413,2.044247,2.228471,2.340554,0.849581,2.340478,1.778707,0.644974,1,10%gnd+90%palm
1.55413,2.044247,2.228471,2.36098,0.849581,2.340478,1.778707,0.634761,1,10%gnd+90%palm
1.543917,2.064673,2.238683,2.381406,0.849581,2.360904,1.778707,0.655187,1,10%gnd+90%palm
1.533704,2.064673,2.228471,2.391618,0.839368,2.360904,1.778707,0.655187,1,10%gnd+90%palm
1.533704,2.074886,2.228471,2.422257,0.839368,2.371117,1.778707,0.634761,1,10%gnd+90%palm
1.523491,2.085099,2.228471,2.442683,0.839368,2.360904,1.788921,0.644974,1,10%gnd+90%palm
1.513278,2.095312,2.228471,2.452895,0.829154,2.371117,1.778707,0.644974,1,10%gnd+90%palm
1.513278,2.105525,2.248895,2.463108,0.829154,2.391544,1.778707,0.655187,1,10%gnd+90%palm
1.513278,2.105525,2.248895,2.483534,0.839368,2.391544,1.768494,0.655187,1,10%gnd+90%palm
1.513278,2.115738,2.248895,2.493747,0.81894,2.401757,1.788921,0.624548,1,10%gnd+90%palm
1.513278,2.125951,2.248895,2.514172,0.81894,2.401757,1.768494,0.655187,1,10%gnd+90%palm
1.503064,2.125951,2.248895,2.534598,0.81894,2.401757,1.788921,0.644974,1,10%gnd+90%palm
1.492851,2.136164,2.248895,2.524385,0.829154,2.41197,1.778707,0.655187,1,10%gnd+90%palm
1.492851,2.146377,2.279532,2.544811,0.81894,2.422183,1.778707,0.665401,1,10%gnd+90%palm
1.492851,2.125951,2.26932,2.565237,0.808726,2.432396,1.778707,0.655187,1,10%gnd+90%palm
1.492851,2.146377,2.248895,2.585662,0.81894,2.442609,1.788921,0.655187,1,10%gnd+90%palm
1.472425,2.15659,2.289744,2.595875,0.81894,2.432396,1.768494,0.665401,1,10%gnd+90%palm
1.472425,2.166803,2.279532,2.606088,0.81894,2.442609,1.768494,0.655187,1,10%gnd+90%palm
1.472425,2.15659,2.279532,2.626513,0.808726,2.452822,1.778707,0.644974,1,10%gnd+90%palm
1.451999,2.166803,2.26932,2.646939,0.829154,2.452822,1.778707,0.624548,1,10%gnd+90%palm
1.482638,2.15659,2.26932,2.646939,0.808726,2.452822,1.778707,0.614335,1,10%gnd+90%palm
1.462212,2.15659,2.289744,2.657152,0.798512,2.473249,1.778707,0.644974,1,10%gnd+90%palm
1.043472,2.268933,2.820786,2.309916,0.931293,3.800957,2.177023,0.69604,1,10%gnd+90%palm
1.053685,2.25872,2.810574,2.320128,0.931293,3.800957,2.177023,0.69604,1,10%gnd+90%palm
1.053685,2.268933,2.810574,2.320128,0.931293,3.800957,2.197449,0.706254,1,10%gnd+90%palm
1.063898,2.25872,2.820786,2.330341,0.931293,3.800957,2.177023,0.675614,1,10%gnd+90%palm
1.053685,2.248507,2.830998,2.309916,0.931293,3.800957,2.187236,0.706254,1,10%gnd+90%palm
1.043472,2.25872,2.830998,2.299703,0.931293,3.790744,2.177023,0.72668,1,10%gnd+90%palm
1.063898,2.25872,2.810574,2.320128,0.921079,3.78053,2.197449,0.706254,1,10%gnd+90%palm
1.084324,2.279146,2.810574,2.320128,0.921079,3.78053,2.187236,0.69604,1,10%gnd+90%palm
